Fantasquadra;Ruolo;Calciatore;Squadra;Prezzo;Prog
Atletico per niente;Portiere;KARNEZIS Orestis;Udinese;0;1
Atletico per niente;Portiere;NETO;Fiorentina;221;2
Atletico per niente;Portiere;SCUFFET Simone;Udinese;50;3
Atletico per niente;Difensore;BASTA Dusan;Lazio;35;1
Atletico per niente;Difensore;CACCIATORE Fabrizio;Sampdoria;1;2
Atletico per niente;Difensore;EVRA Patrice;Juventus;20;3
Atletico per niente;Difensore;GASTALDELLO Daniele;Sampdoria;20;4
Atletico per niente;Difensore;JUAN JESUS Guilherme;Inter;21;5
Atletico per niente;Difensore;LUCARELLI Alessandro;Parma;11;6
Atletico per niente;Difensore;MAGGIO Christian;Napoli;12;7
Atletico per niente;Difensore;PISANO F.;Cagliari;1;8
Atletico per niente;Centrocampista;BONAVENTURA Giacomo;Milan;90;1
Atletico per niente;Centrocampista;LUCAS EVANGELISTA;Udinese;1;2
Atletico per niente;Centrocampista;GAZZI Alessandro;Torino;2;3
Atletico per niente;Centrocampista;LODI Francesco;Parma;95;4
Atletico per niente;Centrocampista;M'VILA Yann;Inter;25;5
Atletico per niente;Centrocampista;MEDEL Gary;Inter;47;6
Atletico per niente;Centrocampista;PEREYRA Roberto Maximiliano;Juventus;31;7
Atletico per niente;Centrocampista;VIDAL Arturo Erasmo;Juventus;370;8
Atletico per niente;Attaccante;DENIS German Gustavo;Atalanta;327;1
Atletico per niente;Attaccante;DI NATALE Antonio;Udinese;400;2
Atletico per niente;Attaccante;DYBALA Paulo;Palermo;100;3
Atletico per niente;Attaccante;FARIAS Diego da Silva;Cagliari;41;4
Atletico per niente;Attaccante;MAXI LOPEZ Gaston;Chievo;39;5
Atletico per niente;Attaccante;SAVIOLA Javier;Verona;40;6
Atletico viagra;Portiere;ANDUJAR Mariano Gonzalo;Napoli;0;1
Atletico viagra;Portiere;RAFAEL C.B.;Napoli;200;2
Atletico viagra;Portiere;SORRENTINO Stefano;Palermo;1;3
Atletico viagra;Difensore;ALBIOL Raul;Napoli;9;1
Atletico viagra;Difensore;BARZAGLI Andrea;Juventus;50;2
Atletico viagra;Difensore;BURDISSO Nicolas Andres;Genoa;6;3
Atletico viagra;Difensore;CASSANI Mattia;Parma;8;4
Atletico viagra;Difensore;DE SCIGLIO Mattia;Milan;15;5
Atletico viagra;Difensore;DRAME' Boukary;Atalanta;3;6
Atletico viagra;Difensore;RANOCCHIA Andrea;Inter;30;7
