Ruolo;Calciatore;Squadra;Quota
A;ICARDI;INTER;33.5
A;HIGUAIN;NAPOLI;31
A;TONI;VERONA;28.8
A;BERARDI;SASSUOLO;27.7
A;DI NATALE;UDINESE;26.6
A;DZEKO;ROMA;26.2
A;BACCA;MILAN;26.2
A;MORATA;JUVENTUS;26.2
A;QUAGLIARELLA;TORINO;25.6
A;EDER;SAMPDORIA;25.2
A;JOVETIC;INTER;25.2
A;MANDZUKIC;JUVENTUS;25
A;DYBALA;JUVENTUS;24.6
A;GABBIADINI;NAPOLI;23.8
C;CANDREVA;LAZIO;23.4
C;FELIPE ANDERSON;LAZIO;23.4
A;KLOSE;LAZIO;22.7
A;MURIEL;SAMPDORIA;22.7
A;SALAH;ROMA;22.6
A;VAZQUEZ;PALERMO;22.5
A;LUIZ ADRIANO;MILAN;21.8
A;ROSSI;FIORENTINA;21.6
A;BALOTELLI;MILAN;21.2
C;POGBA;JUVENTUS;21.1
C;SAPONARA;EMPOLI;21
A;KALINIC;FIORENTINA;20.8
A;TOTTI;ROMA;20.8
A;PALOSCHI;CHIEVO;20.4
A;PALACIO;INTER;20.3
A;THEREAU;UDINESE;20.3
A;IAGO FALQUE;ROMA;19.5
A;CALLEJON;NAPOLI;19.4
C;HAMSIK;NAPOLI;19.1
A;ILICIC;FIORENTINA;19.1
A;MACCARONE;EMPOLI;19
A;BELOTTI;TORINO;18.7
A;DJORDJEVIC;LAZIO;18.6
A;PINILLA;ATALANTA;18.5
C;PAROLO;LAZIO;18.3
A;CASSANO;SAMPDORIA;18.3
C;CUADRADO;JUVENTUS;18.3
A;DEFREL;SASSUOLO;18.2
A;MENEZ;MILAN;18.2
A;ZAPATA D;UDINESE;18.1
A;BABACAR;FIORENTINA;17.6
P;BUFFON;JUVENTUS;17.1
A;DESTRO;BOLOGNA;17.1
C;PEROTTI;GENOA;17
A;MAXI LOPEZ;TORINO;16.8
A;SANSONE N;SASSUOLO;16.7
A;ZAZA;JUVENTUS;16.6
A;MEGGIORINI;CHIEVO;16.6
A;DENIS;ATALANTA;16.5
C;PJANIC;ROMA;16.5
C;MERTENS;NAPOLI;16.5
C;BRIENZA;BOLOGNA;16
A;PAVOLETTI;GENOA;16
A;PANDEV;GENOA;15.8
P;SZCZESNY;ROMA;15.7
C;RIGONI;PALERMO;15.7
C;MAURI;LAZIO;15.7
C;NAINGGOLAN;ROMA;15.6
A;MBAKOGU;CARPI;15.6
C;HERNANES;INTER;15.5
P;HANDANOVIC;INTER;15.4
A;PAZZINI;VERONA;15.4
A;FLORO FLORES;SASSUOLO;15.3
A;NIANG;MILAN;15.3
C;BONAVENTURA;MILAN;15.3
P;VIVIANO;SAMPDORIA;15.2
C;BIGLIA;LAZIO;15.2
A;INSIGNE;NAPOLI;15.1
P;PERIN;GENOA;14.7
D;RODRIGUEZ GO;FIORENTINA;14.6
A;GERVINHO;ROMA;14.4
C;MARCHISIO;JUVENTUS;14.3
A;MPOKU;CHIEVO;14.2
C;FLORENZI;ROMA;14.2
A;MATRI;MILAN;14.1
D;GLIK;TORINO;14.1
A;DIONISI;FROSINONE;14.1
D;LICHTSTEINER;JUVENTUS;14
C;KONDOGBIA;INTER;14
A;LONGO;FROSINONE;13.7
