Ruolo;Calciatore;Squadra;Quota;Primavera
A;HIGUAIN;NAPOLI;34;No
A;ICARDI;INTER;33.5;No
A;TONI;VERONA;28.8;No
A;EDER;SAMPDORIA;28.2;No
A;JOVETIC;INTER;28.2;No
A;BERARDI;SASSUOLO;27.7;No
A;BACCA;MILAN;27.2;No
A;DZEKO;ROMA;27.2;No
A;QUAGLIARELLA;TORINO;26.6;No
A;DYBALA;JUVENTUS;26.6;No
A;DI NATALE;UDINESE;25.6;No
A;MORATA;JUVENTUS;25.2;No
A;MANDZUKIC;JUVENTUS;24;No
A;LUIZ ADRIANO;MILAN;23.8;No
A;GABBIADINI;NAPOLI;23.8;No
A;VAZQUEZ;PALERMO;23.5;No
A;PALOSCHI;CHIEVO;23.4;No
A;MURIEL;SAMPDORIA;22.7;No
A;SALAH;ROMA;22.6;No
C;CANDREVA;LAZIO;22.4;No
C;FELIPE ANDERSON;LAZIO;22.4;No
C;SAPONARA;EMPOLI;22;No
A;GILARDINO;PALERMO;22;No
A;BALOTELLI;MILAN;21.8;No
A;KLOSE;LAZIO;21.7;No
C;POGBA;JUVENTUS;21.1;No
A;KALINIC;FIORENTINA;20.8;No
A;ROSSI;FIORENTINA;20.6;No
A;IAGO FALQUE;ROMA;20.5;No
C;PERISIC;INTER;20.4;No
A;TOTTI;ROMA;19.8;No
A;THEREAU;UDINESE;19.3;No
A;PALACIO;INTER;19.3;No
A;ILICIC;FIORENTINA;19.1;No
C;HAMSIK;NAPOLI;19.1;No
A;MACCARONE;EMPOLI;19;No
A;MEGGIORINI;CHIEVO;18.6;No
C;PJANIC;ROMA;18.5;No
A;CALLEJON;NAPOLI;18.4;No
C;CUADRADO;JUVENTUS;18.3;No
A;DEFREL;SASSUOLO;18.2;No
A;PAVOLETTI;GENOA;18;No
C;RIGONI;PALERMO;17.7;No
A;BELOTTI;TORINO;17.7;No
A;DJORDJEVIC;LAZIO;17.6;No
C;PAROLO;LAZIO;17.3;No
A;FLORO FLORES;SASSUOLO;17.3;No
A;CASSANO;SAMPDORIA;17.3;No
A;MENEZ;MILAN;17.2;No
A;DESTRO;BOLOGNA;17.1;No
A;ZAPATA D;UDINESE;17.1;No
P;BUFFON;JUVENTUS;17.1;No
A;MAXI LOPEZ;TORINO;16.8;No
A;SANSONE N;SASSUOLO;16.7;No
P;SZCZESNY;ROMA;16.7;No
A;BABACAR;FIORENTINA;16.6;No
A;DENIS;ATALANTA;16.5;No
C;MERTENS;NAPOLI;16.5;No
C;BONAVENTURA;MILAN;16.3;No
A;INSIGNE;NAPOLI;16.1;No
C;PEROTTI;GENOA;16;No
C;BRIENZA;BOLOGNA;16;No
A;PANDEV;GENOA;15.8;No
A;ZAZA;JUVENTUS;15.6;No
C;NAINGGOLAN;ROMA;15.6;No
C;HERNANES;JUVENTUS;15.5;No
A;PINILLA;ATALANTA;15.5;No
P;HANDANOVIC;INTER;15.4;No
A;PAZZINI;VERONA;15.4;No
C;BIGLIA;LAZIO;15.2;No
A;LIVAJA;EMPOLI;15.1;No
C;MAURI;LAZIO;14.7;No
C;MORALEZ;ATALANTA;14.6;No
A;MBAKOGU;CARPI;14.6;No
P;BIZZARRI;CHIEVO;14.5;No
A;BORRIELLO;CARPI;14.4;No
A;GERVINHO;ROMA;14.4;No
A;NIANG;MILAN;14.3;Si
C;GOMEZ A;ATALANTA;14.3;No
A;MPOKU;CHIEVO;14.2;No
C;BORJA VALERO;FIORENTINA;14.2;No
C;FLORENZI;ROMA;14.2;No
P;VIVIANO;SAMPDORIA;14.2;No
A;CASTILLO;FROSINONE;14.2;No
C;GIACCHERINI;BOLOGNA;14.1;No
D;GLIK;TORINO;14.1;No
A;MATRI;LAZIO;14.1;No
C;KONDOGBIA;INTER;14;No
A;LONGO;FROSINONE;13.7;No
P;PERIN;GENOA;13.7;No
D;BONUCCI;JUVENTUS;13.7;No
D;RODRIGUEZ GO;FIORENTINA;13.6;No
P;SORRENTINO;PALERMO;13.6;No
A;ITURBE;ROMA;13.6;No
P;KARNEZIS;UDINESE;13.4;No
C;GUARIN;INTER;13.4;No
C;MARCHISIO;JUVENTUS;13.3;No
C;MOUNIER;BOLOGNA;13.3;No
C;BLASZCZYKOWSKY;FIORENTINA;13.3;No
A;KEITA B;LAZIO;13.2;Si
P;SPORTIELLO;ATALANTA;13.2;No
P;DIEGO LOPEZ;MILAN;13.1;No
C;BERTOLACCI;MILAN;13.1;No
